highAlpha,lowAlpha,highBeta,lowBeta,midGamma,lowGamma,theta,delta,meditationValue
0,0,2,0,1,3,1,3,0
0,0,0,1,1,1,2,41,0
56251,59278,14990,25254,9438,12545,220380,531638,0
5491,3091,1772,2545,1054,1641,9504,62836,0
2824,15085,7536,3004,5151,3987,115199,113988,0
11554,9467,5462,9379,9507,3804,6469,5907,0
2760,1613,5702,5703,3919,2000,5674,503,38
11630,11191,10354,6617,5039,4868,86473,192114,35
4401,8149,5647,3960,1433,2736,6272,13068,47
29693,18648,15098,5483,3491,15281,87007,85691,50
13157,2518,3240,13498,3595,6177,14595,11838,57
10295,541,11889,48649,5166,4830,19702,4290,53
10415,11674,6022,9069,6069,5176,15631,8738,50
24048,10605,6684,8575,5046,5171,10005,25063,63
14149,8327,5307,2751,5439,6118,74609,44876,56
22240,10972,8728,3651,5882,8962,18113,23980,80
21970,8348,6641,2655,7416,9307,12147,15675,88
13684,13244,4174,5417,3707,2721,19950,24987,83
17805,16636,3995,5991,1854,5917,12423,37715,100
12988,13691,4686,3896,6805,3310,27821,8385,100
12972,4303,3314,2122,2409,2140,40160,35100,84
13237,20345,6562,8730,4340,7107,15169,10226,88
17723,20313,12858,13294,4605,6310,24448,75575,80
14397,9742,4916,4875,2697,2493,33516,9844,77
17884,21705,8217,3734,2835,6130,21116,8633,87
13786,15156,8528,14044,5476,6677,9080,36545,84
14597,12029,9977,10113,4324,5473,14041,33301,84
13375,10636,11383,8383,3029,7755,43734,5074,80
18939,4106,5583,6236,7039,3515,37940,242331,69
12426,5839,9336,5119,3339,4277,4566,4398,69
6147,7375,6434,5429,4474,3662,37076,37593,60
17418,11348,4503,5138,3019,5741,10848,48290,75
21016,8781,4190,2706,4420,3911,7361,5283,91
12398,20709,6576,3013,4755,2631,7802,14525,100
3160,25496,2943,6340,2871,6973,24243,17960,100
3541,11470,9527,4114,1214,8681,8293,10113,100
29541,16492,6939,5918,1736,3439,26197,29195,96
2500,9399,6547,2996,6155,3535,35441,26174,75
5856,8655,4467,6736,3669,9205,16941,15873,70
7611,8347,6047,9346,1651,4502,17018,16320,67
8560,26626,3606,1778,4933,6213,26886,15698,66
27703,32367,4580,6356,2014,1845,40003,10668,83
12527,733,6352,4044,1728,2213,37911,31017,75
6724,9759,4178,5151,2165,3124,7641,8330,83
5899,9894,4208,3530,4560,5617,7237,18745,83
11737,10615,4121,9379,2296,1964,11821,9268,78
15899,15218,2579,9169,2516,1435,47906,6830,87
19639,25607,6259,2622,1385,3285,72207,93072,80
9818,13854,4213,4798,2967,2706,18083,10741,78
9495,80942,4484,21283,3619,2859,30997,11372,84
13268,20046,4456,1910,1143,1174,30415,3964,91
10490,27020,6994,7014,1177,4082,22426,5388,97
35140,28485,6012,11179,2123,1561,27940,36630,100
30712,37978,3413,2596,1071,2461,3996,36055,100
13268,8030,9017,4004,5169,3981,20856,13327,96
26007,21912,8850,29250,1120,3187,19413,32688,87
6469,9250,10218,22636,2475,3263,13558,25121,67
13157,4007,9120,5222,2130,6733,23170,9205,44
22938,5375,4742,3681,3950,2010,22595,27702,47
13870,2986,3292,8515,1999,2700,6294,2754,50
7854,3107,6982,6187,2193,6276,84308,68585,40
25571,7536,3301,6593,1924,2300,26202,28400,47
15860,9701,5047,4693,1313,2963,55112,11813,40
9339,27417,4595,10719,3360,3059,10116,16975,43
14732,4071,4082,6933,3611,3417,9864,23584,60
30740,9658,6026,4695,3915,5781,16768,30302,63
